01 - SQUAD FORMALIZAÇÃO REMOTA;ionFormalizacao
02 - SQUAD CORRETORA ACOMPANHAMENTO DE RV;ionCorretora
03 - TRANSACIONAL DE RENDA VARIÁVEL;ionCorretoraTransacional-1.10.6
04 - SQUAD FOUNDATION;ionApp-v2.29.0-alfa
05 - SQUAD CONTEÚDO E HUMANIZAÇÃO;ionCommunications-1.01
06 - SQUAD CONTRAT E RESGATE DE FUNDOS CANAIS PF;ionContratacaoResgate-2.7.0
07 - ACOMPAN. CANAIS FRONT RENTABILIDADE;ionAcompanhamento-v3.3.2
08 - SQUAD VITRINE RF FUNDOS E PREV;ionVitrine
09 - SQUAD VITRINE RV COE;ionVitrine
10 - SQUAD AGREGADOR;ionAgregador
11 - SQUAD CONTRAT E RESGATE DE TESOURO;ionContratacaoResgate
12 - SQUAD VISÃO MERCADO FRONT;ionContextualizacao
13 - SQUAD ASSESSORIA EVERYWHERE (antes Edith);ionAdviceMenu
14 - SQUAD CONEXÃO CARTEIRA (antes FRIDAY);ionAssessoria
15 - SQUAD ONBOARDING;ionOnboarding
16 - SQUAD ALOCAÇÃO E REALOCAÇÃO DE INVEST. (antes VISION);
17 - SQUAD INTEGRACAO ION;ionAuthenticator
18 - CONTRATACAO E RESGATE RENDA FIXA;ionContratacaoResgate
19 - SQUAD PIX CONTA ION;ionPix
20 - CONTRATAÇÃO E RESGATE DE TESOURARIA;ionContratacaoResgate
21 - GROWTH;ionGrowth
21 - PLATAFORMA DIGITAL AINVEST;ionAssessoria
22 - SQUAD CONCIERGE DIGITAL (antes STARK);ionStark
23 - CRIPTO;ionCripto
24 - SQUAD PERFIL DO CLIENTE;
25 - TIME ACESSIBILIDADE;todos
